doc_name,paragraph_index,original_style,new_style,paragraph_text_preview,change_type,phrase_deleted
Configuration_Management_Policy_POL-CM-2026-004.docx,0,Normal,Heading 2,Configuration Management Policy,heading_fix,
Configuration_Management_Policy_POL-CM-2026-004.docx,3,Normal,Heading 2,Policy Purpose,heading_fix,
Configuration_Management_Policy_POL-CM-2026-004.docx,6,Normal,Heading 2,Policy Scope,heading_fix,
Configuration_Management_Policy_POL-CM-2026-004.docx,9,Normal,Heading 2,Risk Context and Intent,heading_fix,
Configuration_Management_Policy_POL-CM-2026-004.docx,12,Normal,Heading 2,Section 2: Controls,heading_fix,
Configuration_Management_Policy_POL-CM-2026-004.docx,15,Normal,Heading 2,2.1 Baseline Configuration Controls,heading_fix,
Configuration_Management_Policy_POL-CM-2026-004.docx,17,Normal,Heading 2,2.2 Configuration Monitoring Controls,heading_fix,
Configuration_Management_Policy_POL-CM-2026-004.docx,19,Normal,Heading 2,Section 3: Roles and Responsibilities,heading_fix,
Configuration_Management_Policy_POL-CM-2026-004.docx,21,Normal,Heading 2,Section 4: Change Impact Analysis Template,heading_fix,
Configuration_Management_Policy_POL-CM-2026-004.docx,24,Normal,Heading 2,Appendix - Framework Crosswalk,heading_fix,
Continuous_Monitoring_Policy-MON-2026.docx,0,Normal,Heading 2,Continuous Monitoring Policy,heading_fix,
Continuous_Monitoring_Policy-MON-2026.docx,28,Normal,Heading 2,Supplemental Guidance:,heading_fix,
Data_Loss_Prevention_Standard_STD-DLP-2026-011.docx,0,Normal,Heading 2,Data Loss Prevention Standard,heading_fix,
